fabricante,ano,categoria,couro,combustivel,km,cilindros,tipo_cambio,rodas,cor,airbags,numero_proprietarios,adesivos_personalizados,historico_troca_oleo,codigo_concessionaria,classificacao_veiculo,faixa_preco
HONDA,2010,Hatchback,Nao,Hibrido,158000.0,4,Automatico,18,Preto,4,4,Sim,4,1608,Usado,0.0
HYUNDAI,2012,Sedan,Sim,Gasolina,103490.0,4,Automatico,3,Prata,4,5,Não,3,9007,Usado,0.0
LEXUS,2010,SUV,Sim,Hibrido,382746.0,6,Automatico,20,Prata,12,4,Não,1,3462,Usado,0.0
TOYOTA,2013,Sedan,Sim,Gasol.,203200.0,4,Automatico,6,Azul,4,2,Sim,3,7736,Usado,1.0
HYUNDAI,2016,Universal,Sim,Diesel,61057.0,4,Automatico,4,Preto,4,2,Sim,5,6657,Usado,1.0
VOLKSWAGEN,2016,Sedan,Sim,gasolina,11200.0,4,Tiptronic,24,Preto,8,3,Não,9,5219,Usado,1.0
HYUNDAI,2014,Sedan,Sim,Hibrido,141000.0,4,Tiptronic,9,Branco,12,1,Não,9,4096,Usado,1.0
PORSCHE,2010,SUV,Sim,Gasol.,160259.0,6,Automatico,25,Prata,12,5,Sim,4,9439,Usado,0.0
TOYOTA,2013,SUV,Sim,Gasolina,239342.0,6,Automatico,27,Prata,12,2,Não,8,3046,Usado,0.0
TOYOTA,2012,Hatchback,Nao,Hibrido,128000.0,4,Variator,32,Azul ceu,8,2,Não,10,8557,Usado,0.0
HYUNDAI,2017,SUV,Sim,diesel,100734.0,4,Automatico,6,Preto,4,2,Não,5,5090,Usado,2.0
TOYOTA,2012,Hatchback,Nao,Hibrido,141500.0,4,Automatico,5,Preto,8,4,Não,10,1510,Usado,0.0
FORD,2008,SUV,Nao,Hibrido,147000.0,4,Variator,24,Branco,8,3,Não,2,7150,Usado,0.0
HONDA,2016,Sedan,Sim,Gasolina,87768.0,4,Automatico,22,Azul,4,5,Sim,7,7065,Usado,1.0
AUDI,2015,SUV,Sim,Gasol.,264014.0,6,Automatico,14,Preto,0,2,Sim,6,2307,Usado,0.0
RENAULT,2008,Sedan,Nao,Dies.,132542.0,4,Manual,4,Branco,10,2,Não,9,3510,Usado,0.0
MERCEDES-BENZ,2017,Sedan,Sim,Gasolina,1600.0,4,Automatico,26,Preto,12,2,Não,2,9632,Usado,0.0
AUDI,2014,SUV,Sim,gasolina,87000.0,1,Tiptronic,9,Branco,12,5,Sim,1,6797,Usado,1.0
MERCEDES-BENZ,2001,Cupê,Nao,Gasolina,260000.0,4,Manual,25,Azul,0,1,Não,3,4055,Usado,0.0
MERCEDES-BENZ,2019,SUV,Sim,GASOLINA,5323.0,4,Tiptronic,4,Cinza,0,1,Sim,8,9267,Semi-novo,2.0
NISSAN,2015,SUV,Sim,Gasolina,87112.0,4,Automatico,29,Preto,0,4,Não,2,8451,Usado,0.0
BMW,2012,Sedan,Sim,Gasolina,204318.0,6,Automatico,32,Preto,12,5,Sim,8,1068,Usado,0.0
CHEVROLET,2018,Sedan,Nao,gasolina,22000.0,4,Automatico,15,Red,6,2,Não,8,7426,Semi-novo,1.0
TOYOTA,2007,Minivan,Sim,Gasol.,170000.0,4,Automatico,15,Preto,6,5,Sim,0,4382,Usado,0.0
MERCEDES-BENZ,2004,Sedan,Nao,GASOLINA,130000.0,4,Tiptronic,12,Preto,6,4,Sim,9,7525,Usado,0.0
HYUNDAI,2013,SUV,Sim,diesel,200279.0,4,Automatico,9,Cinza,4,1,Sim,4,7901,Usado,1.0
HYUNDAI,2014,Minivan,Sim,Diesel,154672.0,4,Automatico,15,Prata,4,3,Sim,2,2148,Usado,1.0
HYUNDAI,2016,Minivan,Sim,Dies.,110969.0,4,Automatico,24,Preto,4,3,Não,3,2419,Usado,1.0
TOYOTA,2013,Sedan,Sim,Hibrido,225510.0,4,Automatico,20,Branco,12,5,Sim,3,7738,Usado,0.0
TOYOTA,2001,Hatchback,Nao,Gasolina,210000.0,4,Manual,6,Azul ceu,3,5,Não,4,8815,Usado,0.0
CHEVROLET,2011,SUV,Sim,Dies.,255456.0,4,Automatico,6,Prata,4,5,Sim,2,4895,Usado,0.0
HYUNDAI,2017,Universal,Sim,DIESEL,111643.0,4,Automatico,7,Cinza,4,4,Não,2,5746,Usado,1.0
HYUNDAI,2016,SUV,Sim,Dies.,84506.0,4,Automatico,29,Prata,4,2,Sim,0,4711,Usado,2.0
FORD,2016,Conversivel,Sim,GASOLINA,75000.0,4,Tiptronic,16,Prata,6,1,Sim,4,1992,Usado,1.0
MERCEDES-BENZ,2014,SUV,Sim,Gasol.,94362.0,6,Automatico,15,Branco,12,2,Não,9,2904,Usado,0.0
TOYOTA,2012,Sedan,Nao,gasolina,175000.0,4,Automatico,31,Prata,8,5,Não,1,9285,Usado,0.0
LEXUS,2008,SUV,Sim,GASOLINA,263190.0,8,Automatico,22,Branco,0,5,Sim,1,8771,Usado,0.0
FORD,2009,SUV,Sim,Hibrido,193614.0,4,Automatico,4,Branco,0,4,Sim,3,6095,Usado,0.0
TOYOTA,2010,SUV,Sim,Hibrido,264877.0,6,Automatico,15,Branco,12,1,Sim,7,6470,Usado,0.0
TOYOTA,2019,Sedan,Sim,GASOLINA,27656.0,4,Automatico,16,Branco,12,4,Sim,0,9425,Semi-novo,0.0
HONDA,2014,Sedan,Nao,Hibrido,16000.0,8,Automatico,14,Branco,10,2,Não,9,9852,Usado,1.0
HONDA,1998,SUV,Nao,Gasol.,0.0,4,Automatico,32,Branco,2,2,Não,5,8587,Usado,0.0
HYUNDAI,2014,SUV,Sim,DIESEL,69191.0,4,Automatico,16,Branco,4,5,Não,8,3044,Usado,1.0
HONDA,2012,Hatchback,Sim,Hibrido,83000.0,4,Tiptronic,3,Verde,12,3,Não,2,2552,Usado,0.0
CHEVROLET,2010,Sedan,Sim,gasolina,40772.0,4,Automatico,19,Preto,4,4,Sim,6,1285,Usado,0.0
CHEVROLET,2012,SUV,Sim,Diesel,172000.0,4,Automatico,25,Cinza,4,5,Não,2,2940,Usado,0.0
MERCEDES-BENZ,2014,SUV,Sim,gasolina,433811.0,8,Automatico,17,Preto,10,1,Sim,6,4605,Usado,2.0
BMW,1995,Sedan,Sim,Gasolina,350000.0,6,Manual,28,Azul,2,4,Não,4,2679,Usado,0.0
HYUNDAI,2016,Sedan,Nao,Gasol.,105394.0,4,Tiptronic,7,Preto,12,5,Não,0,8164,Usado,1.0
NISSAN,1990,SUV,Nao,diesel,333333.0,4,Manual,7,Preto,0,1,Sim,5,7220,Usado,0.0
HONDA,1997,Hatchback,Sim,GASOLINA,0.0,4,Manual,18,Azul,6,2,Sim,5,9789,Usado,0.0
MERCEDES-BENZ,2004,Sedan,Sim,Gasolina,214000.0,6,Tiptronic,23,Cinza,8,5,Sim,1,7881,Usado,0.0
HYUNDAI,2009,Cupê,Sim,Gasolina,123346.0,4,Automatico,7,Preto,4,1,Sim,7,2028,Usado,0.0
CHEVROLET,2014,Sedan,Sim,Gasolina,80827.0,4,Automatico,2,Verde,12,5,Sim,2,3376,Usado,0.0
FORD,2015,Sedan,Nao,Gasol.,91200.0,4,Automatico,25,Azul ceu,10,2,Sim,8,1337,Usado,0.0
BMW,2013,SUV,Sim,Diesel,137802.0,6,Automatico,28,Preto,12,1,Sim,8,6699,Usado,0.0
BMW,2013,Sedan,Sim,Hibrido,151586.0,6,Automatico,2,Branco,12,3,Não,6,6228,Usado,0.0
KIA,2016,Hatchback,Nao,gasolina,107000.0,4,Manual,25,Prata,2,1,Sim,0,3593,Usado,0.0
BMW,2008,Sedan,Sim,Gás Natural,210408.0,6,Tiptronic,3,Branco,12,5,Não,3,3998,Usado,0.0
FORD,2017,SUV,Sim,Gasol.,100567.0,4,Automatico,29,Preto,4,1,Sim,1,8645,Usado,2.0
HYUNDAI,2016,Universal,Sim,DIESEL,86000.0,4,Automatico,19,Cinza,4,3,Sim,1,4109,Usado,1.0
MERCEDES-BENZ,2003,Sedan,Sim,GASOLINA,150000.0,12,Tiptronic,14,Branco,12,3,Sim,3,1845,Usado,0.0
MITSUBISHI,1997,Sedan,Nao,Gasol.,100000.0,4,Manual,10,Red,0,5,Sim,9,8593,Usado,0.0
HONDA,2003,Hatchback,Nao,Gasolina,178000.0,4,Variator,27,Prata,4,1,Sim,5,9245,Usado,0.0
SSANGYONG,2013,SUV,Sim,DIESEL,85704.0,4,Automatico,14,Prata,4,1,Sim,1,8267,Usado,1.0
HYUNDAI,2010,SUV,Sim,Diesel,58962.0,4,Automatico,29,Branco,4,2,Sim,5,5215,Usado,0.0
TOYOTA,2013,Sedan,Sim,Hibrido,90000.0,4,Tiptronic,9,Branco,12,2,Não,2,2554,Usado,1.0
RENAULT,1995,Hatchback,Nao,Gasolina,50000.0,3,Manual,17,Verde,0,4,Não,10,4352,Usado,0.0
MAZDA,2014,Sedan,Sim,Gasol.,0.0,4,Automatico,9,Red,12,4,Sim,9,9796,Usado,0.0
TOYOTA,2009,Sedan,Sim,Hibrido,318358.0,6,Automatico,7,Preto,12,2,Sim,2,3880,Usado,0.0
TOYOTA,2012,Sedan,Sim,Gasolina,0.0,4,Tiptronic,11,Preto,6,4,Sim,7,5813,Usado,0.0
HYUNDAI,2016,SUV,Sim,diesel,59515.0,4,Automatico,7,Azul,4,4,Não,10,8647,Usado,2.0
TOYOTA,2014,Sedan,Sim,Hibrido,115312.0,4,Automatico,27,Cinza,12,2,Sim,9,4789,Usado,0.0
MERCEDES-BENZ,1999,Sedan,Nao,DIESEL,111111.0,4,Manual,5,Prata,4,1,Sim,8,4013,Usado,0.0
NISSAN,2012,Minivan,Nao,Gasol.,143000.0,4,Tiptronic,1,Branco,12,2,Não,8,1499,Usado,0.0
NISSAN,2004,Sedan,Sim,Gasolina,299709.0,6,Automatico,23,Cinza,12,2,Não,9,1403,Usado,0.0
TOYOTA,2008,SUV,Nao,Gasolina,135000.0,4,Automatico,6,Prata,8,1,Não,4,1513,Usado,1.0
HYUNDAI,2011,Minivan,Sim,DIESEL,124444.0,4,Automatico,17,Amarelo,4,4,Não,3,1738,Usado,1.0
HONDA,2012,Sedan,Sim,Hibrido,146403.0,4,Automatico,24,Branco,0,3,Não,6,2655,Usado,0.0
MITSUBISHI,1997,SUV,Nao,Gasolina,142000.0,4,Automatico,4,Azul,6,5,Sim,1,1775,Usado,0.0
LEXUS,2010,SUV,Sim,Gasolina,155821.0,8,Automatico,31,Preto,0,2,Sim,7,9635,Usado,1.0
LEXUS,2015,SUV,Sim,GASOLINA,102907.0,8,Automatico,27,Preto,0,4,Não,2,3542,Usado,0.0
HYUNDAI,2013,Sedan,Sim,GASOLINA,130000.0,4,Tiptronic,4,Preto,6,2,Sim,3,6894,Usado,0.0
MERCEDES-BENZ,2017,Sedan,Sim,Gasolina,50930.0,4,Automatico,29,Preto,12,3,Sim,2,2646,Usado,1.0
CHEVROLET,2014,Hatchback,Sim,Hibrido,131893.0,4,Automatico,30,Marrom,0,2,Sim,5,6922,Usado,0.0
GMC,2013,SUV,Sim,GASOLINA,138958.0,4,Automatico,26,Preto,12,1,Não,9,3451,Usado,0.0
MERCEDES-BENZ,1985,Universal,Nao,Dies.,1111111.0,4,Manual,1,Preto,1,4,Não,8,3816,Usado,0.0
TOYOTA,2018,Sedan,Sim,Hibrido,35058.0,4,Automatico,11,Branco,12,5,Sim,3,5045,Semi-novo,0.0
HONDA,2015,SUV,Nao,Gasolina,33330.0,4,Automatico,29,Cinza,8,2,Não,6,9140,Usado,1.0
FIAT,2011,Cupê,Nao,Gasolina,141000.0,4,Automatico,16,Red,4,1,Sim,4,8507,Usado,0.0
VOLKSWAGEN,2014,Sedan,Sim,Diesel,82392.0,4,Automatico,17,Prata,12,1,Não,4,9894,Usado,0.0
SUBARU,2005,Vagao de carga,Nao,GASOLINA,180000.0,6,Tiptronic,21,Azul,6,5,Não,8,4616,Usado,0.0
HYUNDAI,2013,Sedan,Sim,Gasolina,117920.0,4,Tiptronic,19,Cinza,12,3,Não,8,9249,Usado,0.0
TOYOTA,2010,Minivan,Sim,gasolina,227200.0,6,Tiptronic,8,Branco,16,4,Sim,7,9624,Usado,1.0
TOYOTA,2014,Sedan,Sim,Hibrido,130478.0,4,Automatico,4,Branco,12,2,Sim,0,4908,Usado,0.0
CHEVROLET,2012,SUV,Sim,Hibrido,188419.0,4,Automatico,32,Red,0,5,Não,0,2710,Usado,0.0
MERCEDES-BENZ,2008,Hatchback,Nao,Gasolina,180000.0,4,Automatico,19,Dourado,8,2,Não,6,4757,Usado,0.0
LEXUS,2018,SUV,Sim,GASOLINA,18918.0,4,Tiptronic,19,Preto,6,5,Sim,10,1301,Semi-novo,2.0
TOYOTA,2014,Sedan,Nao,Hibrido,160000.0,4,Automatico,26,Branco,4,4,Não,4,2511,Usado,1.0
KIA,2009,Minivan,Sim,Diesel,84176.0,4,Automatico,10,Branco,6,1,Sim,7,4739,Usado,0.0
HYUNDAI,2011,Cupê,Sim,gasolina,107005.0,4,Automatico,31,Cinza,4,3,Não,8,3675,Usado,0.0
INFINITI,2015,SUV,Sim,Gasolina,124154.0,6,Automatico,27,Preto,12,4,Não,4,5817,Usado,0.0
HYUNDAI,2012,Sedan,Sim,GASOLINA,104997.0,4,Automatico,5,Branco,4,4,Sim,9,6935,Usado,1.0
VOLKSWAGEN,2017,Sedan,Sim,Gasolina,27728.0,6,Tiptronic,22,Prata,8,4,Sim,10,7865,Usado,1.0
MERCEDES-BENZ,1998,Sedan,Sim,Gasol.,777777.0,6,Manual,28,Azul,4,3,Não,9,4810,Usado,0.0
MAZDA,2019,SUV,Sim,GASOLINA,11566.0,4,Automatico,32,Preto,12,1,Não,3,8141,Semi-novo,0.0
AUDI,2018,Cupê,Sim,Gasolina,4000.0,1,Tiptronic,31,Azul,0,1,Não,3,2106,Semi-novo,0.0
HYUNDAI,2016,SUV,Sim,DIESEL,113700.0,4,Automatico,12,Prata,4,1,Não,6,3978,Usado,1.0
MERCEDES-BENZ,2014,Sedan,Sim,Gasolina,69000.0,4,Tiptronic,10,Cinza,8,5,Não,7,6719,Usado,1.0
TOYOTA,2011,Sedan,Sim,Hibrido,152000.0,4,Variator,30,Branco,12,4,Sim,5,6924,Usado,0.0
TOYOTA,2003,Universal,Nao,GASOLINA,181926.0,4,Automatico,31,Prata,2,1,Sim,2,8667,Usado,0.0
HYUNDAI,2016,SUV,Sim,diesel,50255.0,4,Automatico,9,Red,4,5,Sim,1,8149,Usado,1.0
BMW,2001,Sedan,Sim,gasolina,252800.0,6,Manual,18,Cinza,6,4,Não,3,4669,Usado,0.0
AUDI,2014,Sedan,Sim,Gasolina,164488.0,6,Automatico,28,Prata,12,1,Sim,3,1061,Usado,0.0
FORD,2011,Vagao de carga,Nao,Diesel,125000.0,4,Manual,1,Branco,2,1,Não,9,2351,Usado,1.0
FIAT,2012,Hatchback,Sim,Gasolina,164574.0,4,Automatico,26,Red,12,1,Sim,1,8718,Usado,0.0
CHEVROLET,2014,Sedan,Sim,GASOLINA,156992.0,4,Automatico,15,Preto,12,4,Sim,2,8304,Usado,0.0
OPEL,1995,Sedan,Nao,Gás Natural,0.0,4,Manual,32,Branco,2,2,Não,7,1056,Usado,0.0
MITSUBISHI,1998,SUV,Nao,GASOLINA,11000.0,6,Tiptronic,29,Prata,4,3,Sim,8,9356,Usado,0.0
MITSUBISHI,2005,Minivan,Sim,gasolina,184000.0,6,Automatico,28,Branco,12,5,Sim,3,7394,Usado,1.0
MERCEDES-BENZ,2014,Sedan,Sim,Diesel,149486.0,6,Automatico,2,Prata,12,5,Sim,0,9885,Usado,0.0
TOYOTA,2018,Sedan,Sim,Gasolina,25000.0,4,Tiptronic,22,Azul,12,1,Não,4,2684,Semi-novo,2.0
VOLKSWAGEN,2014,Universal,Sim,diesel,113214.0,4,Automatico,27,Cinza,12,3,Sim,9,5821,Usado,0.0
TOYOTA,2012,Sedan,Sim,gasolina,394069.0,4,Automatico,9,Preto,12,4,Sim,0,5568,Usado,0.0
MERCEDES-BENZ,2014,Sedan,Sim,DIESEL,149486.0,6,Automatico,30,Prata,12,5,Não,10,6417,Usado,0.0
NISSAN,1990,SUV,Nao,diesel,222222.0,4,Manual,8,Preto,0,1,Não,3,5899,Usado,0.0
AUDI,2013,Hatchback,Sim,Gasol.,301707.0,6,Automatico,28,Cinza,0,1,Não,7,3269,Usado,0.0
HYUNDAI,2013,Sedan,Sim,Gasolina,175827.0,4,Automatico,10,Preto,12,1,Sim,6,8123,Usado,0.0
MERCEDES-BENZ,2013,Sedan,Sim,DIESEL,107800.0,6,Automatico,8,Cinza,12,3,Sim,9,9260,Usado,0.0
TOYOTA,2014,Sedan,Nao,Gasolina,115200.0,4,Automatico,13,Prata,8,2,Não,6,6330,Usado,1.0
TOYOTA,2001,SUV,Nao,GASOLINA,91000.0,4,Automatico,24,Prata,4,5,Sim,3,9978,Usado,0.0
FORD,2011,SUV,Sim,Gasolina,129177.0,4,Automatico,21,Branco,4,4,Não,6,8696,Usado,1.0
HYUNDAI,2008,Hatchback,Nao,Dies.,201000.0,4,Manual,19,Preto,8,4,Não,1,3165,Usado,0.0
HYUNDAI,2015,SUV,Sim,diesel,185811.0,4,Automatico,7,Preto,4,5,Sim,10,5531,Usado,1.0
NISSAN,1998,Sedan,Nao,Gasol.,358400.0,4,Manual,31,Marrom,2,1,Não,5,7628,Usado,0.0
PORSCHE,2018,Sedan,Sim,Gasolina,28968.0,6,Automatico,31,Branco,12,4,Sim,7,3201,Semi-novo,0.0
ALFA ROMEO,2001,Cupê,Sim,gasolina,240000.0,4,Manual,30,Preto,4,1,Sim,8,2794,Usado,0.0
SUZUKI,2008,SUV,Nao,Gasolina,98000.0,4,Automatico,8,Preto,12,1,Não,3,8934,Usado,0.0
LEXUS,2011,Hatchback,Sim,Hibrido,122302.0,4,Automatico,20,Preto,0,5,Não,3,9789,Usado,0.0
TOYOTA,2007,Hatchback,Nao,Hibrido,140000.0,4,Automatico,20,Bege,6,3,Não,5,7238,Usado,0.0
PORSCHE,2010,Hatchback,Sim,Gasolina,196800.0,8,Tiptronic,23,Branco,8,2,Sim,1,7312,Usado,2.0
HYUNDAI,2015,Hatchback,Nao,Gasolina,17200.0,4,Tiptronic,14,Red,10,4,Não,2,6912,Usado,1.0
TOYOTA,2013,SUV,Nao,Gasolina,120000.0,4,Tiptronic,14,Branco,0,2,Não,2,1248,Usado,1.0
HONDA,2002,Hatchback,Nao,GASOLINA,0.0,4,Automatico,9,Prata,4,5,Não,4,9472,Usado,0.0
TOYOTA,2014,Hatchback,Nao,Hibrido,66000.0,4,Variator,21,Prata,4,5,Sim,3,3075,Usado,0.0
TOYOTA,2004,Sedan,Nao,Gasolina,300000.0,4,Variator,29,Bege,4,3,Não,1,1230,Usado,0.0
TOYOTA,2009,Sedan,Sim,Hibrido,230000.0,4,Variator,14,Cinza,6,5,Não,10,3519,Usado,0.0
HONDA,2013,Hatchback,Sim,Gasolina,110467.0,4,Automatico,4,Branco,4,2,Não,3,8533,Usado,0.0
MERCEDES-BENZ,2010,Sedan,Sim,Gasolina,157000.0,4,Automatico,9,Cinza,10,1,Sim,8,6634,Usado,0.0
HONDA,2012,Hatchback,Nao,Hibrido,64000.0,4,Variator,18,Preto,4,1,Não,6,3114,Usado,0.0
HYUNDAI,2011,Sedan,Sim,Gasolina,80000.0,4,Tiptronic,6,Cinza,6,1,Não,2,2395,Usado,0.0
VOLKSWAGEN,2013,Sedan,Sim,DIESEL,179200.0,4,Tiptronic,2,Branco,16,3,Não,4,4276,Usado,0.0
CHEVROLET,2011,Sedan,Sim,GASOLINA,246976.0,8,Automatico,15,Preto,12,4,Sim,1,2643,Usado,0.0
HYUNDAI,2014,Minivan,Sim,DIESEL,179918.0,4,Automatico,26,Prata,4,2,Sim,0,3191,Usado,1.0
TOYOTA,2013,Sedan,Sim,Hibrido,92200.0,4,Tiptronic,21,Bege,12,2,Sim,4,9549,Usado,1.0
KIA,2016,Sedan,Sim,Diesel,29000.0,4,Tiptronic,21,Prata,8,2,Não,9,8400,Usado,1.0
MAZDA,2011,Sedan,Sim,Gasolina,216550.0,4,Automatico,20,Preto,12,2,Não,4,6772,Usado,0.0
JEEP,1993,SUV,Nao,gasolina,240000.0,6,Automatico,25,Verde,5,4,Não,6,2037,Usado,0.0
LEXUS,2010,SUV,Sim,gasolina,357246.0,8,Automatico,24,Cinza,0,4,Sim,0,3207,Usado,1.0
HYUNDAI,2013,Sedan,Nao,gasolina,50000.0,4,Tiptronic,14,Cinza,10,5,Não,5,2937,Usado,0.0
CHEVROLET,2014,Sedan,Sim,Gasolina,127842.0,4,Automatico,14,Branco,4,1,Sim,7,5069,Usado,0.0
HYUNDAI,2017,SUV,Sim,Gasolina,40193.0,4,Automatico,19,Preto,4,3,Não,2,7377,Usado,2.0
OPEL,2003,Hatchback,Nao,Gasol.,180000.0,4,Manual,21,Prata,6,5,Sim,9,4540,Usado,0.0
TOYOTA,2002,Hatchback,Nao,GASOLINA,115000.0,4,Automatico,23,Prata,7,4,Não,6,5071,Usado,0.0
FORD,2008,SUV,Sim,Hibrido,220474.0,4,Automatico,5,Cinza,0,2,Sim,0,7509,Usado,0.0
VOLKSWAGEN,2013,Sedan,Sim,Diesel,132310.0,4,Automatico,30,Cinza,12,2,Sim,3,3166,Usado,0.0
HYUNDAI,2010,SUV,Sim,Dies.,142264.0,4,Automatico,22,Branco,4,3,Não,3,5504,Usado,1.0
HONDA,2012,Sedan,Sim,Hibrido,146403.0,4,Automatico,15,Branco,0,4,Não,2,9355,Usado,0.0
TOYOTA,2013,Sedan,Sim,Gasolina,227371.0,4,Automatico,4,Prata,12,2,Não,5,4777,Usado,0.0
VOLKSWAGEN,2002,Sedan,Sim,Gasol.,175000.0,6,Manual,29,Cinza,6,1,Sim,7,8740,Usado,0.0
VOLKSWAGEN,2012,Sedan,Sim,DIESEL,203440.0,4,Automatico,26,Preto,12,2,Sim,9,7234,Usado,0.0
HONDA,2013,Hatchback,Sim,Gasolina,70000.0,4,Automatico,11,Azul,4,3,Sim,7,2535,Usado,0.0
NISSAN,2010,SUV,Sim,GASOLINA,122000.0,4,Automatico,3,Prata,4,1,Sim,6,7868,Usado,0.0
MERCEDES-BENZ,2017,SUV,Sim,Gasol.,44995.0,4,Automatico,1,Preto,0,3,Sim,9,8870,Usado,1.0
TOYOTA,2012,Hatchback,Nao,Hibrido,122324.0,4,Automatico,18,Red,7,4,Sim,0,7992,Usado,0.0
LEXUS,2013,Sedan,Sim,GASOLINA,56000.0,6,Tiptronic,30,Preto,12,4,Não,7,2405,Usado,2.0
FORD,2014,Sedan,Sim,Hibrido,186048.0,4,Automatico,32,Preto,0,2,Não,3,2738,Usado,0.0
TOYOTA,2013,Sedan,Nao,Hibrido,130000.0,4,Automatico,7,Azul ceu,0,3,Não,5,1268,Usado,0.0
VOLKSWAGEN,2011,Minivan,Nao,Gasolina,126000.0,4,Automatico,18,Prata,6,1,Sim,9,2417,Usado,0.0
TOYOTA,2013,Sedan,Sim,gasolina,156666.0,4,Automatico,5,Preto,12,5,Não,9,8020,Usado,1.0
CHEVROLET,2014,SUV,Sim,Hibrido,133195.0,4,Automatico,21,Preto,0,4,Sim,10,7976,Usado,0.0
HONDA,2014,Hatchback,Sim,Hibrido,114950.0,4,Automatico,5,Azul,4,5,Sim,5,3101,Usado,0.0
FORD,2016,Sedan,Sim,gasolina,154850.0,4,Automatico,27,Preto,12,1,Sim,4,6048,Usado,0.0
HYUNDAI,2019,SUV,Sim,diesel,13000.0,4,Automatico,25,Branco,4,2,Não,7,8531,Semi-novo,2.0
TOYOTA,2017,SUV,Sim,Gasol.,94262.0,4,Automatico,1,Branco,12,2,Sim,6,9128,Usado,1.0
